type_label,type_start,type_end,subtype,title_de,description_de,title_en,part,division,subsection,group_label,group_title,grundtvig_no,grimm_no,page
100,100,100,,Der Wolf vom Hunde zu Gast gebeten singt,"hat zu viel getrunken; singt, trotzdem es der Hund ihm verbietet; wird getötet.","The wolf, invited as the dog's guest, sings",I. Tiermärchen,,Tiere des Waldes und Haustiere,,,,,5
101,101,101,,Der alte Hund als Retter des Kindes (Schafes),die Verabredung des Wolfes und des Hundes; der Wolf raubt das Kind und lässt es sich vom Hunde abjagen; der Hund erhält sein Gnadenbrot (Grimm No. 48).,The old dog as rescuer of the child (sheep),I. Tiermärchen,,Tiere des Waldes und Haustiere,,,,48,5
102,102,102,,Der Hund als Schuster des Wolfes,"der Hund frisst das Material, aus dem die Stiefel verfertigt werden sollen (die Kuh, das Schwein u. s. w.).",The dog as the wolf's shoemaker,I. Tiermärchen,,Tiere des Waldes und Haustiere,,,,,5
103,103,103,,Die wilden Tiere verstecken sich vor dem seltsamen Tiere,die Katze jagt ihnen Schrecken ein; der Bär fällt vom Baume und bricht sich das Rückgrat (Grimm No. 48).,The wild animals hide from the strange animal,I. Tiermärchen,,Tiere des Waldes und Haustiere,,,,48,5
104,104,104,,Der Krieg der Haustiere und der wilden Tiere,die Katze reckt den Schwanz in die Höhe; die wilden Tiere halten den Schwanz für eine Flinte und fliehen (Grimm No. 48).,The war between the domestic and the wild animals,I. Tiermärchen,,Tiere des Waldes und Haustiere,,,,48,6
105,105,105,,Die einzige Kunst der Katze,"die Katze rettet sich auf einen Baum; der Fuchs, der hundert Künste kann, wird gefangen (Grimm No. 75).",The cat's only trick,I. Tiermärchen,,Tiere des Waldes und Haustiere,,,,75,6
110,110,110,,Die Glocke um den Hals der Katze,"die Mäuse kaufen eine Glocke; keine wagt es, sie der Katze um den Hals zu hängen.",The bell around the cat's neck,I. Tiermärchen,,Tiere des Waldes und Haustiere,,,,,6
111,111,111,,Das Gespräch der Katze und der Maus,die Maus erzählt ein Märchen; die Katze: „ebenso fresse ich dich“.,The conversation of the cat and the mouse,I. Tiermärchen,,Tiere des Waldes und Haustiere,,,,,6
112,112,112,,Die Feldmaus zu Gaste bei der Hausmaus,die Katze (vgl. No. 245).,The field mouse visits the house mouse,I. Tiermärchen,,Tiere des Waldes und Haustiere,,,,,6
115,115,115,,"Der Fuchs erwartet, dass die Lippe (Hode) des Pferdes herabfällt",bekommt sie nicht.,The fox waits for the horse's lip (testicle) to fall off,I. Tiermärchen,,Tiere des Waldes und Haustiere,,,,,6
116,116,116,,Der Bär auf dem Heuwagen (auf dem Pferde),wird für den Geistlichen gehalten.,The bear on the hay-wagon (on the horse),I. Tiermärchen,,Tiere des Waldes und Haustiere,,,,,6
117,117,117,,Der Bär lässt seine Tatze fallen,schlägt das Pferd in die Lende.,The bear lets his paw drop,I. Tiermärchen,,Tiere des Waldes und Haustiere,,,,,6
118,118,118,,Der Löwe erschrickt vor dem Pferde,"das Pferd schlägt Funken mit den Hufen; der Wolf (Bär) droht, das Pferd aufzufressen; der Löwe hebt den Wolf in die Höhe und erdrückt ihn dabei.",The lion frightened by the horse,I. Tiermärchen,,Tiere des Waldes und Haustiere,,,,,6
120,120,120,,Wer zuerst den Sonnenaufgang sieht,"der Fuchs begibt sich auf einen Hügel, das Schwein auf einen niedriger gelegenen Platz; die Sonne scheint auf die Wipfel der Bäume.",Who sees the sunrise first,I. Tiermärchen,,Tiere des Waldes und Haustiere,,,,,6
121,121,121,,"Die Wölfe klettern auf den Rücken von einander, um zum Baume heraufzukommen",das Schwein auf dem Baume: der unterste Wolf läuft weg.,The wolves climb on top of one another to reach the tree,I. Tiermärchen,,Tiere des Waldes und Haustiere,,,,,6
122,122,122,,Der Wolf (Fuchs) sucht sich sein Frühstück,"der Wolf droht verschiedene Tiere aufzufressen (das Schwein, das Schaf, das Pferd u. s. w.); auf ihre Bitten wartet er, bis der Pass vorgezeigt wird, die Kinder getauft werden u. dergl.; bekommt nichts (vgl. No. 227).",The wolf (fox) seeks his breakfast,I. Tiermärchen,,Tiere des Waldes und Haustiere,,,,,6
123,123,123,,Der Wolf und die jungen Geislein,"in Abwesenheit der Mutter frisst der Wolf die Zicklein; die Mutter schneidet den Magen des Wolfes auf (vgl. No. 333) (Grimm No. 5, Gg No. 84).",The wolf and the young kids,I. Tiermärchen,,Tiere des Waldes und Haustiere,,,84,"5, Gg No",7
125,125,125,,Der Wolf flüchtet vor dem Wolfskopf,die Hämmel finden den Sack und den Wolfskopf.,The wolf flees from the wolf's head,I. Tiermärchen,,Tiere des Waldes und Haustiere,,,,,7
130,130,130,,"Die Tiere im Nachtquartier (Bremer Stadtmusikanten), verjagen den, der in die Hütte einzudringen versucht",,The animals in night quarters (Bremen town musicians) drive away the intruder who tries to enter the hut,I. Tiermärchen,,Tiere des Waldes und Haustiere,,,,,7
130 A,130,130,A,,Bauen sich selbst ein Haus.,,I. Tiermärchen,,Tiere des Waldes und Haustiere,,,,,7
130 B,130,130,B,,"Auf der Flucht (gewöhnl. droht ihnen, getötet zu werden) (Grimm No. 27).",,I. Tiermärchen,,Tiere des Waldes und Haustiere,,,,27,7
130 C,130,130,C,,Die Tiere in Gesellschaft eines Menschen.,,I. Tiermärchen,,Tiere des Waldes und Haustiere,,,,,7
150,150,150,,Die Ratschläge des Fuchses,"der Mann lässt den Fuchs frei, da ihm dieser drei Ratschläge geben will: „wenn du einen Fuchs fängst, lass ihn nicht los“.",The fox's counsels,I. Tiermärchen,,Der Mensch und die Tiere des Waldes,,,,,7
151,151,151,,Der Mensch lehrt den Bären Geige spielen,"klemmt die Tatzen in einer Ritze fest; betrügt in gleicher Weise mehrere andere Tiere, die in Freiheit gesetzt sich vergebens zu rächen versuchen (vgl. No. 38, 1159) (Grimm No. 8, Gg No. 126).",The man teaches the bear to play the fiddle,I. Tiermärchen,,Der Mensch und die Tiere des Waldes,,,126,"8, Gg No",7
152,152,152,,Der Mensch bemalt den Bären,brennt ihn mit glühendem Eisen; der Hase und die Bremse erhalten ihre Strafe.,The man paints the bear,I. Tiermärchen,,Der Mensch und die Tiere des Waldes,,,,,7
153,153,153,,Das Kastrieren des Bären und das Holen der Salbe,"der Mann schickt seine Frau; der Bär wirft die Salbe an den Baum. [Ernteteilung, siehe No. 1030].",The castration of the bear and the fetching of the salve,I. Tiermärchen,,Der Mensch und die Tiere des Waldes,,,,,7
154,154,154,,„Bärenfrass“,der Fuchs hilft dem Manne; der Bär wird als Baumstumpf auf den Schlitten geladen und getötet; der Fuchs will sich Hühner als Belohnung holen; wird verjagt.,"""Bear-food""",I. Tiermärchen,,Der Mensch und die Tiere des Waldes,,,,,7
155,155,155,,Undank ist der Welt Lohn,"der Mann befreit eine Schlange oder einen Bären; dieser droht, ihn zu fressen; die Richter; der Fuchs fordert den Befreiten auf, sich in seine frühere Lage zurückzubegeben (Gg No. 76).",Ingratitude is the world's reward,I. Tiermärchen,,Der Mensch und die Tiere des Waldes,,,76,,8
156,156,156,,Der Splitter in der Tatze des Bären (Löwen),das Weib zieht den Splitter heraus und bekommt den Schenkel der Kuh zur Belohnung.,The splinter in the paw of the bear (lion),I. Tiermärchen,,Der Mensch und die Tiere des Waldes,,,,,8
157,157,157,,Man muss den Menschen fürchten,"der Löwe (Wolf); der Knabe (werdender Mensch), der Greis (gewesener Mensch), der Soldat mit dem Säbel (Grimm No. 72).",One must fear man,I. Tiermärchen,,Der Mensch und die Tiere des Waldes,,,,72,8
158,158,158,,Die in den Schlitten geratenen wilden Tiere fressen das Zugtier auf,der Schlitten geht entzwei; die Tiere holen Material zur Reparation aus dem Walde.,The wild animals that got into the sledge eat up the draft animal,I. Tiermärchen,,Der Mensch und die Tiere des Waldes,,,,,8
159,159,159,,Die gefangenen wilden Tiere erkaufen sich das Leben,"führen dem Menschen Pferde, Kühe u. s. w. zu. [Die Tiere im Nachtquartier, siehe No. 130 C].",The captured wild animals buy their lives,I. Tiermärchen,,Der Mensch und die Tiere des Waldes,,,,,8
200,200,200,,Der Pass des Hundes,geht durch das Verschulden der Katze verloren; seitdem sind Hund und Katze Feinde.,The dog's passport,I. Tiermärchen,,Die Haustiere,,,,,8
203,203,203,,Das Schaf und das Pferd fressen um die Wette,das Pferd siegt.,The sheep and the horse hold an eating contest,I. Tiermärchen,,Die Haustiere,,,,,8
204,204,204,,"Das Schaf, die Ente und der Hahn auf dem Meere in Gefahr","die Ente schwimmt, der Hahn fliegt auf den Mast.","The sheep, the duck, and the cock in danger at sea",I. Tiermärchen,,Die Haustiere,,,,,8
206,206,206,,Das Stroh wird zum zweiten Mal gedroschen,"das Gespräch der Tiere (Kuh, Ochse); sie verhungern.",The straw is threshed a second time,I. Tiermärchen,,Die Haustiere,,,,,8
210,210,210,,"Der Hahn, die Henne, die Ente, die Stecknadel und die Nähnadel auf der Wanderung","die Nadeln stechen am Morgen den Wirt, bei dem die Wanderer ihr Nachtquartier genommen haben (Grimm No. 10 und 41).","The cock, the hen, the duck, the pin, and the needle on their travels",I. Tiermärchen,,Die Haustiere,,,,10 und 41,8
220,220,220,,Die Ratsversammlung der Vögel,"der Adler als Richter, bestimmt Anteil und Arbeit eines jeden.",The council assembly of the birds,I. Tiermärchen,,Die Vögel,,,,,9
221,221,221,,Die Königswahl der Vögel,"wer am höchsten fliegen kann; der Zaunkönig versteckt sich im Gefieder des Adlers; wird nicht als König anerkannt; wer am tiefsten in die Erde fallen kann; der Zaunkönig schlüpft ins Mauseloch, soll ausgehungert werden; die Eule als Wächter (Grimm No. 171).",The election of the king of the birds,I. Tiermärchen,,Die Vögel,,,,171,9
222,222,222,,Der Krieg der fliegenden und der vierfüssigen Tiere,"der in die Höhe gehaltene Schwanz des Fuchses als Signal; die Hornisse sticht den Fuchs unter den Schwanz, er lässt den Schwanz sinken; die vierfüssigen Tiere fliehen (Grimm No. 102).",The war of the flying and the four-footed animals,I. Tiermärchen,,Die Vögel,,,,102,9
225,225,225,,Der Kranich lehrt den Fuchs das Fliegen,lässt ihn aus der Höhe auf die Erde fallen.,The crane teaches the fox to fly,I. Tiermärchen,,Die Vögel,,,,,9
226,226,226,,Die Gans lehrt den Fuchs das Schwimmen,"schüttelt ihr Gefieder, der Fuchs fällt ins Wasser.",The goose teaches the fox to swim,I. Tiermärchen,,Die Vögel,,,,,9
227,227,227,,Der Fuchs und die Gänse,"die Gänse dürfen beten, ehe er sie auffrisst; sie fangen an zu gackern und hören nicht wieder auf (vgl. 122) (Grimm No. 86).",The fox and the geese,I. Tiermärchen,,Die Vögel,,,,86,9
228,228,228,,Die Meise und der Bär,"die Meise versucht, durch Sträuben der Federn die Grösse des Bären zu erreichen; fliegt ins Ohr des Bären, der Bär stirbt.",The titmouse and the bear,I. Tiermärchen,,Die Vögel,,,,,9
229,229,229,,Der Habicht erschrickt vor dem Schnabel der Schnepfe,"„es ist ein Schnabel, aber er ist nichts nütze“ (hohl).",The hawk frightened by the snipe's beak,I. Tiermärchen,,Die Vögel,,,,,9
230,230,230,,Die Ernährung des grossköpfigen und grossäugigen Vogels,"als der Ernährer das Alter des Vogels erfährt, tötet er ihn. align=""right"" valign=""top"" |",The feeding of the big-headed and big-eyed bird,I. Tiermärchen,,Die Vögel,,,,,9
232,232,232,,Der Auerhahn und die Zugvögel,der Auerhahn will nicht mit den Zugvögeln zusammen wegziehn.,The capercaillie and the migratory birds,I. Tiermärchen,,Die Vögel,,,,,10
235,235,235,,Der Eichelhäher borgt sich das Kleid des Kuckucks,gibt es nicht zurück.,The jay borrows the cuckoo's dress,I. Tiermärchen,,Die Vögel,,,,,10
236,236,236,,Die Drossel lehrt die Taube (u. a.) den Nestbau,undichtes Nest.,The thrush teaches the dove (and others) nest-building,I. Tiermärchen,,Die Vögel,,,,,10
238,238,238,,Das scharfe Gesicht der Taube und das scharfe Gehör des Frosches,ein Samenkorn auf dem Felde; lässt das Korn aus der Höhe herabfallen.,The sharp sight of the dove and the sharp hearing of the frog,I. Tiermärchen,,Die Vögel,,,,,10
240,240,240,,Der Eiertausch der Taube,zwei für sieben.,The dove's exchange of eggs,I. Tiermärchen,,Die Vögel,,,,,10
242,242,242,,Der Frosch wird aus seinem Versteck gelockt,"die Krähe (u. a.) schwört, den Frosch nicht zu fressen; bricht ihren Eid.",The frog is lured out of his hiding place,I. Tiermärchen,,Die Vögel,,,,,10
245,245,245,,Der Hausvogel und der Waldvogel,"der Hausvogel rät dem Waldvogel, um sich zu blicken: der Waldvogel wird geschossen (vgl. No. 112).",The house bird and the forest bird,I. Tiermärchen,,Die Vögel,,,,,10
246,246,246,,Der Jäger spannt den Bogen,"Gespräch der beiden Vögel; der eine bleibt, wird geschossen.",The hunter bends the bow,I. Tiermärchen,,Die Vögel,,,,,10
248,248,248,,Der Hund und der Sperling,"der Mann überfährt den Hund, den Freund des Sperlings; der Sperling rächt sich: der Mann verliert sein Pferd, seine Habe und zuletzt sein Leben (Grimm No. 58).",The dog and the sparrow,I. Tiermärchen,,Die Vögel,,,,58,10
250,250,250,,Das Wettschwimmen der Fische,"der Kaulbarsch hängt sich an den Schwanz des Lachses (oder a.), gewinnt (vgl. No. 275).",The swimming contest of the fish,I. Tiermärchen,,Die Fische,,,,,10
252,252,252,,Der Hecht und die Schlange schwimmen um die Wette ans Land,"die Drohung des Hechtes für den Fall, dass er gewinnt.",The pike and the snake race to the shore,I. Tiermärchen,,Die Fische,,,,,10
253,253,253,,Die Fische in der Reuse,"der kleine Fisch schlüpft durch die Masche heraus, der grosse bleibt stecken.",The fish in the trap,I. Tiermärchen,,Die Fische,,,,,10
275,275,275,,Der Wettlauf des Fuchses und des Krebses,"der Krebs hängt sich an den Schwanz des Fuchses, gewinnt (vgl. No. 250) (Grimm No. 187). [Das scharfe Gesicht der Taube und das scharfe Gehör des Frosches, siehe No. 238].",The race of the fox and the crayfish,I. Tiermärchen,,Andere Tiere,,,,187,11
280,280,280,,"Die Ameise schleppt eine Last, die so gross ist wie sie selbst",die Wette des Raben (oder a.) und der Ameise.,The ant carries a load as large as itself,I. Tiermärchen,,Andere Tiere,,,,,11
285,285,285,,Das Kind und die Schlange,die Schlange trinkt vom Milchnapf des Kindes; „iss auch vom Brot!“ (Grimm No. 105 I).,The child and the snake,I. Tiermärchen,,Andere Tiere,,,,105 I,11
300,300,300,,Der Drachentöter,"die Königstochter wird gerettet (in verschiedenen Verbindungen: der Schafhirt, die drei Hunde (Namen) u. s. w.) (vgl. No. 301, 303, 305, 466, 502, 530, 532, 553) (Gg No. 3 B).",The dragon-slayer,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),300–359,"Der Unhold (Riese, Drache, Teufel, Kobold etc.) wird überwunden",3 B,,11
301,301,301,,Die drei geraubten Prinzessinnen,,The three stolen princesses,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),300–359,"Der Unhold (Riese, Drache, Teufel, Kobold etc.) wird überwunden",,,11
301 A,301,301,A,,"Männer gehen auf die Suche nach den verschwundenen Prinzessinnen; kochen abwechselnd das Essen; Episode mit dem Zwerg; einer der Männer durch ein Loch unter die Erde und rettet die Prinzessinnen (vom Drachen u. a., vgl. No. 300); die Gefährten ziehen ihn nicht wieder empor, aber er rettet sich schliesslich (Grimm No. 91, Gg No. 5 A). align=""right"" valign=""top"" |",,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegner (vgl. auch „die Märchen vom dummen Teufel“ II D),300–359,"Der Unhold (Riese, Drache, Teufel, Kobold etc.) wird überwunden",5 A,"91, Gg No",11
