id,motif_family,tradition,source_text,reference,summary,thompson_motifs,atu_type,aarne_1910_type,woh_wiki,woh_library,see_dataset,woh_reading
divine-council-ugaritic-baal-cycle,divine-council,Ugaritic (Canaanite),Baal Cycle,KTU 1.1–1.6,"At Ugarit the sons of El sit as the assembled council (pḫr mʿd) under aged El while Baal, Yam and Mot contend for kingship.",A167.1,,,https://www.wheelofheaven.world/wiki/council-of-eternals/,https://www.wheelofheaven.world/library/baal-cycle-woh/,divine-council-index,Canon: the biblical divine council preserves the memory of the Council of the Eternals presided over by Yahweh.
divine-council-hebrew-psalm-82,divine-council,Hebrew / Biblical,Psalms,Psalm 82:1,Elohim takes his stand in the council of El and sentences the gods of the nations to die like men — the courtroom scene of biblical council theology.,A167.1,,,https://www.wheelofheaven.world/wiki/plurality-of-gods/,https://www.wheelofheaven.world/library/psalms/,divine-council-index,Canon reads the ʾĕlōhîm of the psalm as the plural creators remembered behind the singular God of later theology.
divine-council-hebrew-1kings-22,divine-council,Hebrew / Biblical,1 Kings (Micaiah's vision),1 Kings 22:19–23,"Micaiah sees Yahweh enthroned with the host of heaven at his right and left, deliberating how to entice Ahab; a spirit volunteers.",A167.1,,,https://www.wheelofheaven.world/wiki/council-of-eternals/,https://www.wheelofheaven.world/library/1-kings/,divine-council-index,
divine-council-hebrew-job-court,divine-council,Hebrew / Biblical,Job (heavenly court),Job 1:6; 2:1,"The sons of God present themselves before Yahweh on a set day, the Accuser among them, and the wager over Job is struck in session.",A167.1,,,https://www.wheelofheaven.world/wiki/council-of-eternals/,https://www.wheelofheaven.world/library/job-woh/,divine-council-index,
divine-council-hebrew-deut-32,divine-council,Hebrew / Biblical,Deuteronomy (Song of Moses),Deuteronomy 32:8–9,"ʿElyon divides the nations according to the number of the sons of God, each people allotted to a council member; Yahweh’s own portion is Israel.",A167.1,,,https://www.wheelofheaven.world/wiki/plurality-of-gods/,https://www.wheelofheaven.world/library/deuteronomy/,divine-council-index,
divine-council-hebrew-isaiah-6,divine-council,Hebrew / Biblical,Isaiah (throne vision),Isaiah 6:1–8,Isaiah’s throne vision: seraphim in attendance and the council plural — “who will go for us?” — before the prophet volunteers.,A167.1,,,https://www.wheelofheaven.world/wiki/council-of-eternals/,https://www.wheelofheaven.world/library/isaiah/,divine-council-index,
divine-council-babylonian-enuma-elish,divine-council,Babylonian (Akkadian),Enūma Eliš,Tablets II–VI,"The assembly of the gods (puḫur ilāni) feasts, deliberates, and invests Marduk with kingship and the Tablet of Destinies to face Tiamat.",A167; A167.1,,,https://www.wheelofheaven.world/wiki/anunnaki/,,divine-council-index,
divine-council-babylonian-atrahasis,divine-council,Babylonian (Akkadian),Atra-ḫasīs,Tablets I–III,The great gods in assembly swear the flood into being over Enki’s dissent — divine policy made by vote and oath.,A167; A167.1,,,https://www.wheelofheaven.world/wiki/council-of-eternals/,https://www.wheelofheaven.world/library/atrahasis-woh/,divine-council-index,
divine-council-second-temple-watchers,divine-council,Second Temple / Apocrypha,Book of the Watchers (1 Enoch),1 Enoch 6–16; 14,The heavenly court of the Holy Ones judges the Watchers who descended; the archangels petition and sentence is passed.,A167.1; V236,,,https://www.wheelofheaven.world/wiki/watchers/,https://www.wheelofheaven.world/library/book-of-enoch-woh/,divine-council-index,
divine-council-anatolian-song-of-emergence,divine-council,Hurrian-Hittite,Song of Emergence (Kingship in Heaven),CTH 344,"Kingship in heaven passes dynastically — Alalu, Anu, Kumarbi, Teshub — the council rendered as a succession struggle among the gods of heaven.",A167,,,https://www.wheelofheaven.world/wiki/theomachy/,,divine-council-index,
divine-council-mormon-council-in-heaven,divine-council,Latter-day Saint,Book of Moses / Book of Abraham,Moses 4:1–4; Abraham 3:22–28,In the LDS scriptures a premortal council debates the plan of salvation and the choice of a Redeemer before the world is organized.,A167.1,,,https://www.wheelofheaven.world/wiki/council-of-eternals/,https://www.wheelofheaven.world/library/book-of-moses/,divine-council-index,
divine-council-greek-olympian-agora,divine-council,Greek (Olympian),"Homer, Iliad",Iliad 4.1–72; 20.4–30,Zeus convenes the Olympian agora; Hera and Athena argue the fate of Troy and the war is steered from the assembly floor.,A167; A167.1,,,https://www.wheelofheaven.world/wiki/council-of-eternals/,,divine-council-index,
divine-council-egyptian-ennead-tribunal,divine-council,Egyptian,The Contendings of Horus and Seth (Papyrus Chester Beatty I),"Chester Beatty I (20th Dynasty, c. 1147 BCE)","The Great Ennead sits as a tribunal for eighty years over the succession of Osiris’s throne, weighing Horus against Seth.",A167; A167.1,,,https://www.wheelofheaven.world/wiki/council-of-eternals/,,divine-council-index,
divine-council-roman-concilium-deorum,divine-council,Roman,"Ovid, Metamorphoses",Metamorphoses 1.163–252,"Jupiter summons the concilium deorum, denounces Lycaon, and wins the assembly’s assent to destroy humankind by flood.",A167.1,,,https://www.wheelofheaven.world/wiki/council-of-eternals/,,divine-council-index,
divine-council-norse-rokstolar,divine-council,Norse,Völuspá (Poetic Edda); Prose Edda (Gylfaginning),"Völuspá st. 6, 9, 23–25; Gylfaginning ch. 14","The regin repeatedly take their rökstólar, the seats of counsel, to order time, fashion the dwarves, and weigh the Æsir–Vanir war.",A167; A167.1,,,https://www.wheelofheaven.world/wiki/council-of-eternals/,,divine-council-index,
divine-council-sumerian-enlil-ninlil-assembly,divine-council,Sumerian,Enlil and Ninlil (ETCSL 1.2.1),ETCSL 1.2.1 (the Ki-ur / Ekur judgment scene),"The assembly of the fifty great gods at Nippur seizes, judges and banishes Enlil himself — the council as a court above even its president.",A167; A167.1,,,https://www.wheelofheaven.world/wiki/anunnaki/,,divine-council-index,
divine-council-hindu-devasabha,divine-council,Hindu,"Mahābhārata, Adi Parva (Āstīka Parva)","Adi Parva, Sections XVII–XVIII (the churning of the ocean of milk)","The devas sit in conclave on Meru; counseled by Nārāyaṇa, they resolve to churn the ocean of milk for the amrita.",A167; A167.1; A154.1,,,https://www.wheelofheaven.world/wiki/council-of-eternals/,,divine-council-index,
theomachy-babylonian-marduk-tiamat,theomachy,Babylonian (Akkadian),Enūma Eliš,Tablet IV,"Marduk nets and splits Tiamat, builds sky and earth from her body, and is enthroned — combat as cosmogony.",A162.2,,,https://www.wheelofheaven.world/wiki/theomachy/,,theomachy-crossrefs,
theomachy-ugaritic-baal-yam,theomachy,Ugaritic (Canaanite),Baal Cycle,KTU 1.2; 1.5,"With the maces Yagrush and Ayamur, Baal beats down Yam — Sea and Judge River — and is acclaimed king; the serpent Lôtan lies behind biblical Leviathan.",A162.2; A162.7,,,https://www.wheelofheaven.world/wiki/theomachy/,https://www.wheelofheaven.world/library/baal-cycle-woh/,theomachy-crossrefs,
theomachy-hebrew-yahweh-leviathan,theomachy,Hebrew / Biblical,"Psalms, Isaiah, Job",Ps 74:13–14; Isa 27:1; 51:9–10; Job 26:12–13,"The psalmists and prophets remember Yahweh crushing Leviathan, Rahab and the Sea — the old combat surviving as poetry of creation and exodus.",A162.2,,,https://www.wheelofheaven.world/wiki/leviathan/,https://www.wheelofheaven.world/library/psalms/,theomachy-crossrefs,Canon reads the theomachy layer as the memory of real conflict among the creators — the Elohimian space wars — compressed into chaos-combat imagery.
theomachy-greek-zeus-typhon,theomachy,Greek,"Hesiod, Theogony",Theogony 820–880,"Hundred-headed Typhoeus, last child of Earth, challenges Zeus and is blasted by the thunderbolt into Tartarus.",A162.7,,,https://www.wheelofheaven.world/wiki/theomachy/,,theomachy-crossrefs,
theomachy-vedic-indra-vritra,theomachy,Vedic / Hindu,Rig Veda,RV 1.32; Book 10,Indra slays the dragon Vṛtra with the vajra and releases the pent-up seven rivers — the Vedic charter combat.,A162.2,,,https://www.wheelofheaven.world/wiki/theomachy/,https://www.wheelofheaven.world/library/rig-veda-book-10/,theomachy-crossrefs,
theomachy-hittite-stormgod-illuyanka,theomachy,Hittite / Anatolian,Illuyanka Myth,CTH 321,"The Storm-god, aided by Inara and the mortal Ḫupašiya, defeats the serpent Illuyanka; the tale was recited at the purulli spring festival.",A162.2,,,https://www.wheelofheaven.world/wiki/theomachy/,,theomachy-crossrefs,
theomachy-egyptian-ra-apophis,theomachy,Egyptian,Coffin Texts / Book of the Dead,Spells against Apep,Apep assaults the solar barque nightly and is repelled with knives and spells — a combat renewed forever rather than won.,A162.2,,,https://www.wheelofheaven.world/wiki/theomachy/,,theomachy-crossrefs,
theomachy-christian-michael-dragon,theomachy,Christian,Revelation,Revelation 12:7–9,"Michael and his angels cast down the great dragon, the ancient serpent — the combat myth transposed into an eschatological key.",A106.2,,,https://www.wheelofheaven.world/wiki/theomachy/,https://www.wheelofheaven.world/library/revelation/,theomachy-crossrefs,
creation-of-humans-hebrew-genesis,creation-of-humans,Hebrew / Biblical,Genesis,Genesis 1:26–27; 2:7,"The Elohim resolve — in the plural — to make humankind “in our image, after our likeness”; the second account has Yahweh Elohim form the man from dust and breathe life into him.",A1210; A1241,,,https://www.wheelofheaven.world/wiki/adam-and-eve/,https://www.wheelofheaven.world/library/genesis-woh/,,"Canon states the creation directly: humankind was engineered in the creators’ laboratories, “in our image” read literally (The Book Which Tells the Truth)."
creation-of-humans-babylonian-atrahasis,creation-of-humans,Babylonian (Akkadian),Atra-ḫasīs,"Atra-ḫasīs, Tablet I.170–230","To relieve the striking Igigi of their toil, the mother goddess mixes clay with the flesh and blood of the slain god Wê-ila, and humankind is created to bear the workload of the gods.",A1210; A1241,,,https://www.wheelofheaven.world/wiki/anunnaki/,https://www.wheelofheaven.world/library/atrahasis-woh/,,Canon: the “clay plus divine substance” recipe preserves the memory of laboratory synthesis from the creators’ own genetic material.
creation-of-humans-babylonian-enuma-elish,creation-of-humans,Babylonian (Akkadian),Enūma Eliš,"Enūma Eliš, Tablet VI.1–38","Marduk announces his plan to create lullû, “man,” from the blood of the condemned rebel Qingu, so that the gods may be at rest and the toil laid on humankind.",A1210,,,https://www.wheelofheaven.world/wiki/anunnaki/,https://www.wheelofheaven.world/library/enuma-elish/,,
creation-of-humans-sumerian-enki-ninmah,creation-of-humans,Sumerian,Enki and Ninmaḫ,"ETCSL 1.1.2, lines 24–43","Enki has humankind fashioned from the clay of the Abzu to free the gods from their labor; in the drinking contest that follows, he and Ninmaḫ shape a series of flawed human prototypes.",A1210; A1241,,,https://www.wheelofheaven.world/wiki/life-engineering/,https://www.wheelofheaven.world/library/enki-and-ninmah-woh/,,Canon reads the flawed-prototypes episode as trial-and-error genetic engineering remembered as a contest.
creation-of-humans-vedic-purusha,creation-of-humans,Vedic / Hindu,Rig Veda (Puruṣa-sūkta),Rig Veda 10.90,From the sacrificed cosmic man Puruṣa the worlds and the four social orders are apportioned — humanity derived from the divided body of a primordial divine being.,A1210,,,https://www.wheelofheaven.world/wiki/comparative-mythology/,https://www.wheelofheaven.world/library/rig-veda-book-10/,,
creation-of-humans-greek-prometheus,creation-of-humans,Greek,"Apollodorus, Bibliotheca","Bibliotheca 1.7.1; cf. Ovid, Metamorphoses 1.76–88","Prometheus molds humankind from water and earth; Ovid has the new creature made upright, to look at the sky, from earth still holding seeds of its kindred heaven.",A1241,,,https://www.wheelofheaven.world/wiki/comparative-mythology/,,,
creation-of-humans-quiche-popol-vuh,creation-of-humans,K’iche’ Maya,Popol Vuh,"Popol Vuh, Part 3 (the maize creation)","After failed races of mud and of wood, the gods grind white and yellow maize and shape the first true humans — beings who see and praise, whose sight the gods then deliberately dim.",A1210,,,https://www.wheelofheaven.world/wiki/comparative-mythology/,,,Canon parallel: successive imperfect creations before a satisfactory model echo iterative design; the dimming of the first humans’ sight reads as a deliberate limitation set by the creators.
creation-of-humans-egyptian-khnum,creation-of-humans,Egyptian,Hymn to Khnum (Esna temple),"Esna temple texts, Great Hymn to Khnum","The ram-headed Khnum shapes humans — body by body, organ by organ — on the potter’s wheel and knits their bodies together, a craftsman-creation of anatomical precision.",A1241.3,,,https://www.wheelofheaven.world/wiki/life-engineering/,,,
creation-of-humans-norse-ask-embla,creation-of-humans,Norse,Völuspá (Poetic Edda),Völuspá 17–18,"Three gods find Ask and Embla on the shore, lifeless and fateless, and give them breath, spirit and warmth — humanity awakened from inert stock rather than made from nothing.",A1251,,,https://www.wheelofheaven.world/wiki/comparative-mythology/,,,
sky-descent-second-temple-watchers,sky-descent,Second Temple / Apocrypha,Book of the Watchers (1 Enoch),1 Enoch 6–8,"Two hundred Watchers bind themselves by oath on Mount Hermon, descend, take human wives, and teach metallurgy, cosmetics, sorcery and the reading of signs — civilization arriving as transgression.",V236; F531.6.1.1; A513.1,,,https://www.wheelofheaven.world/wiki/watchers/,https://www.wheelofheaven.world/library/book-of-enoch-woh/,,Canon: the Watchers are the exiled creator-scientists who continued their work on Earth against the home world’s policy.
sky-descent-mesopotamian-oannes,sky-descent,Greco-Babylonian,"Berossos, Babyloniaca","Babyloniaca, Book 1 (FGrH 680 F 1) — the Oannes account","In the first year a being called Oannes rises from the Erythraean Sea and teaches humankind letters, sciences, arts, city-building and law; nothing new, Berossos adds, has been discovered since.",A510.1,,,https://www.wheelofheaven.world/wiki/forerunners/,,,Canon parallel: the apkallu civilizers match the creators’ envoys educating early humanity.
sky-descent-greek-prometheus-fire,sky-descent,Greek,"Hesiod, Theogony; Works and Days",Theogony 561–570; Works and Days 50–58,"Prometheus steals fire in a hollow fennel stalk and gives it to humankind against the will of Zeus, and both giver and receivers pay for the technology transfer.",A1415,,,https://www.wheelofheaven.world/wiki/lucifer/,https://www.wheelofheaven.world/library/theogony-woh/,,Canon parallel: the punished technology-bringer belongs to the same memory-family as the serpent of Eden — knowledge given to the young species against policy.
sky-descent-sumerian-kingship,sky-descent,Sumerian,Sumerian King List,"Sumerian King List, opening line (ETCSL 2.1.1)","“After the kingship descended from heaven, the kingship was in Eridu” — political order itself framed as an institution lowered from the sky, twice: before and after the Flood.",,,,https://www.wheelofheaven.world/wiki/sumerian-king-list/,https://www.wheelofheaven.world/library/sumerian-king-list-woh/,,Canon: kingship “from heaven” records administration delegated by the creators to human intermediaries.
sky-descent-japanese-ninigi,sky-descent,Japanese / Shinto,Kojiki; Nihon Shoki,"Kojiki, Book 1 (the tenson kōrin); Nihon Shoki, Book 2","Amaterasu sends her grandson Ninigi down from the Plain of High Heaven with the three regalia to rule the land; the imperial line descends, literally, from the sky.",A171.0.3; F32.1,,,https://www.wheelofheaven.world/wiki/comparative-mythology/,,,
sky-descent-andean-viracocha,sky-descent,Andean / Inca,"Betanzos, Suma y narración de los Incas",Betanzos I.1–2,"Con Ticci Viracocha emerges at Lake Titicaca, fashions the peoples and their costumes at Tiwanaku, and walks the land calling each nation out of hills, springs and caves, teaching as he goes.",A510.1,,,https://www.wheelofheaven.world/wiki/forerunners/,,,
tower-babel-hebrew-genesis,tower-babel,Hebrew / Biblical,Genesis,Genesis 11:1–9,"A single-language humanity bakes bricks to build a city and a tower with its head in the heavens; Yahweh descends, confounds their speech, and scatters them over the earth.",F772.1; A1333; C771.1,,,https://www.wheelofheaven.world/wiki/tower-of-babel/,https://www.wheelofheaven.world/library/genesis-woh/,,"Canon: the tower was a rocket project aimed at the creators’ planet, dispersed before it could succeed (The Book Which Tells the Truth 2:72)."
tower-babel-second-temple-jubilees,tower-babel,Second Temple / Apocrypha,Book of Jubilees,Jubilees 10:18–26,"Jubilees dates the tower’s building to forty-three years, names the mortar and bitumen, and ends it with the confusion of tongues and a mighty wind that overthrows the tower.",F772.1; A1333,,,https://www.wheelofheaven.world/wiki/tower-of-babel/,https://www.wheelofheaven.world/library/jubilees-woh/,,
tower-babel-mesopotamian-etemenanki,tower-babel,Babylonian (Akkadian),Enūma Eliš; Neo-Babylonian building inscriptions,Enūma Eliš VI.60–62; Nebuchadnezzar II’s Etemenanki inscriptions,"The Anunnaki raise Esagila and its tower in a year of brick-molding, and royal inscriptions boast of Etemenanki, “House of the foundation-platform of heaven and earth” — the ziggurat behind the Babel image.",F772.1,,,https://www.wheelofheaven.world/wiki/babel/,https://www.wheelofheaven.world/library/enuma-elish/,,
tower-babel-nahua-cholula,tower-babel,Nahua (colonial record),Codex Vaticanus A (Codex Ríos),"Codex Vaticanus A, gloss on the Great Pyramid of Cholula","The colonial gloss records that the giant Xelhua built the great mound of Cholula to reach the sky, until the lords of heaven destroyed the work with fire — a heaven-reaching tower struck down, recorded independently of Genesis.",F772.1; F531,,,https://www.wheelofheaven.world/wiki/tower-of-babel/,,,
tower-babel-greek-aloadae,tower-babel,Greek,"Homer, Odyssey",Odyssey 11.305–320,"The giant Aloadae, Otus and Ephialtes, pile Ossa on Olympus and Pelion on Ossa to storm heaven itself, and are destroyed by Apollo before their beards can grow.",F531,,,https://www.wheelofheaven.world/wiki/tower-of-babel/,,,
giants-hebrew-nephilim,giants,Hebrew / Biblical,Genesis,Genesis 6:1–4,"The sons of God take the daughters of men, and the Nephilim — “the mighty men of old, the men of renown” — are in the earth in those days and after.",F531.6.1.1; F531.6.1,,,https://www.wheelofheaven.world/wiki/nephilim/,https://www.wheelofheaven.world/library/genesis-woh/,,Canon: the Nephilim are the offspring of the exiled creators and human women (The Book Which Tells the Truth).
giants-second-temple-enoch,giants,Second Temple / Apocrypha,Book of the Watchers (1 Enoch),1 Enoch 7:2–5,The Watchers’ wives bear giants three thousand ells tall who consume the labor of humankind and then humankind itself — the Nephilim narrative expanded into catastrophe.,F531.6.1.1; F531,,,https://www.wheelofheaven.world/wiki/nephilim/,https://www.wheelofheaven.world/library/book-of-enoch-woh/,,
giants-hebrew-anakim-og,giants,Hebrew / Biblical,Numbers; Deuteronomy,Numbers 13:32–33; Deuteronomy 3:11,"The spies report the sons of Anak, before whom they seemed like grasshoppers; Og of Bashan, last of the Rephaim, leaves an iron bed nine cubits long as his measure.",F531; F531.0.1,,,https://www.wheelofheaven.world/wiki/nephilim/,https://www.wheelofheaven.world/library/deuteronomy/,,
giants-ugaritic-rephaim,giants,Ugaritic (Canaanite),The Rephaim texts,KTU 1.20–1.22; cf. Deuteronomy 2:10–11,"At Ugarit the rpum are honored dead invoked at feasts; in the Hebrew Bible the same name covers both aboriginal giant peoples and the shades in Sheol — one term straddling heroes, giants and the dead.",F531,,,https://www.wheelofheaven.world/wiki/nephilim/,,,
giants-greek-gigantes,giants,Greek,"Hesiod, Theogony; Apollodorus, Bibliotheca",Theogony 183–187; Bibliotheca 1.6.1–2,The Giants spring from Earth and the blood of wounded Ouranos; in the Gigantomachy they war on the Olympians and are put down only with a mortal’s help.,F531,,,https://www.wheelofheaven.world/wiki/theomachy/,https://www.wheelofheaven.world/library/theogony-woh/,,
giants-norse-jotnar,giants,Norse,Prose Edda (Gylfaginning),Gylfaginning 5–7,"From the venom-drips of Élivágar grows the primordial giant Ymir, ancestor of the frost-giants; the gods slay him and build the world from his body.",F531; A621.1,,,https://www.wheelofheaven.world/wiki/comparative-mythology/,,,
giants-andean-first-race,giants,Andean / Inca,"Sarmiento de Gamboa, Historia de los Incas","Sarmiento, Historia de los Incas, ch. 7; cf. Betanzos I.1–2",Colonial chroniclers record a first creation — in several versions a race of giants — that disobeyed Viracocha and was destroyed by flood before the present humanity was made.,F531,,,https://www.wheelofheaven.world/wiki/comparative-mythology/,,,
garden-paradise-hebrew-eden,garden-paradise,Hebrew / Biblical,Genesis,Genesis 2:8–17,"Yahweh Elohim plants a garden in Eden, waters it with a four-branched river, sets the man in it to work it, and places in its midst the tree of life and the tree of the knowledge of good and evil.",A151.2; F111,,,https://www.wheelofheaven.world/wiki/eden/,https://www.wheelofheaven.world/library/genesis-woh/,,Canon: Eden is the enclosed laboratory-garden where the creators kept and observed the first engineered humans (The Book Which Tells the Truth).
garden-paradise-sumerian-dilmun,garden-paradise,Sumerian,Enki and Ninḫursaĝa,"ETCSL 1.1.1, lines 1–30","Dilmun is pure, clean and bright: the raven does not croak, the lion does not kill, no eye-disease, no old age — the paradise-land later given to the flood survivor Ziusudra.",A151.2; F111,,,https://www.wheelofheaven.world/wiki/eden/,https://www.wheelofheaven.world/library/enki-and-ninhursag-woh/,,
garden-paradise-iranian-vara,garden-paradise,Iranian / Zoroastrian,Vendidad (Vidēvdād),"Vendidad, Fargard 2.20–43","Warned by Ahura Mazda of destroying winters, Yima builds the vara, a sealed enclosure stocked with the seed of every kind of human, animal and plant — a preserved remnant against planetary catastrophe.",,,,https://www.wheelofheaven.world/wiki/great-flood/,,,Canon parallel: the vara’s seed-store matches the ark read as a genetic repository rather than a menagerie.
garden-paradise-greek-hesperides,garden-paradise,Greek,"Hesiod, Theogony",Theogony 215–216; 274–275,"Beyond glorious Ocean the Hesperides tend the golden apples and their guardian trees — a god’s garden at the edge of the world, barred to mortals.",A151.2,,,https://www.wheelofheaven.world/wiki/eden/,https://www.wheelofheaven.world/library/theogony-woh/,,
garden-paradise-greek-elysium,garden-paradise,Greek,"Homer, Odyssey",Odyssey 4.561–569,"Menelaus is promised the Elysian plain at the world’s end: no snow, no storm, always the clear west wind — ease granted, not earned, by kinship with the gods.",A151,,,https://www.wheelofheaven.world/wiki/eden/,,,
garden-paradise-chinese-xiwangmu,garden-paradise,Chinese,Shanhaijing; Han-era Xiwangmu traditions,"Shanhaijing (Classic of Mountains and Seas), Western Mountains; Han Wudi neizhuan",On Kunlun the Queen Mother of the West keeps the garden whose peaches ripen once in millennia and confer immortality — paradise as an orchard of controlled access to long life.,A151.2; D1346.5,,,https://www.wheelofheaven.world/wiki/tree-of-life/,,,
immortality-quest-babylonian-gilgamesh,immortality-quest,Babylonian (Akkadian),Epic of Gilgamesh,"Epic of Gilgamesh, Tablet XI.283–307","Utnapishtim reveals the plant of heartbeat that makes the old young again; Gilgamesh dives for it, wins it, and loses it to a snake that sheds its skin as it slips away.",H1333.2.1; D1346.5; A1319.12,,,https://www.wheelofheaven.world/wiki/tree-of-life/,https://www.wheelofheaven.world/library/gilgamesh-woh/,,Canon: the withheld plant is one more image of life-extension technology kept from the young species.
immortality-quest-babylonian-adapa,immortality-quest,Babylonian (Akkadian),Adapa and the South Wind,"Adapa, Fragment B (Amarna)","Summoned to Anu’s heaven, the sage Adapa is offered the bread and water of life — and refuses them on Ea’s prior advice, losing immortality for humankind by obedience.",E80,,,https://www.wheelofheaven.world/wiki/tree-of-life/,https://www.wheelofheaven.world/library/adapa-woh/,,
immortality-quest-hebrew-tree-of-life,immortality-quest,Hebrew / Biblical,Genesis,Genesis 3:22–24,"“Lest he put out his hand and take also of the tree of life, and eat, and live forever” — the man is expelled and cherubim with a whirling flaming sword bar the way back.",D1346.5,,,https://www.wheelofheaven.world/wiki/tree-of-life/,https://www.wheelofheaven.world/library/genesis-woh/,,Canon states it directly: the creators withheld their longevity science from the new species and guarded the way to it.
immortality-quest-norse-idunn,immortality-quest,Norse,Prose Edda (Skáldskaparmál),"Skáldskaparmál, the abduction of Idunn","The gods stay young only by Idunn’s apples; when the giant Thjazi steals her, the Æsir grey and wither until Loki brings her back — divine immortality shown as a maintained supply.",A153.1; A153,,,https://www.wheelofheaven.world/wiki/tree-of-life/,,,
immortality-quest-hindu-amrita,immortality-quest,Hindu,"Mahābhārata, Adi Parva","Adi Parva, Sections XVII–XVIII","Devas and asuras churn the ocean of milk with Mount Mandara to raise the amrita, and the nectar of immortality is fought over, rationed and guarded from the losing side.",A154.1; A153,,,https://www.wheelofheaven.world/wiki/tree-of-life/,,,
