id,khm_no,part,title_de,title_en,atu_type,atu_episode_types,type_note,aarne_1910_types,first_edition,wikisource_de
khm-043,KHM 43,KHM,Frau Trude,Frau Trude,334,,"Type 334, At the Witch's House",,1837,https://de.wikisource.org/wiki/Frau_Trude
khm-044,KHM 44,KHM,Der Gevatter Tod,Godfather Death,332,,Type 332,332,1812/15,https://de.wikisource.org/wiki/Der_Gevatter_Tod
khm-045,KHM 45,KHM,,Thumbling's Travels,700,,"Type 700, Tom Thumb",700,1812/15,https://de.wikisource.org/wiki/Daumerlings_Wanderschaft
khm-046,KHM 46,KHM,Fitchers Vogel,Fitcher's Bird,311,312,"Type 311, The Heroine Rescues Herself and Her Sisters. Similar to type 312, Bluebeard",311,1812/15,https://de.wikisource.org/wiki/Fitchers_Vogel
khm-047,KHM 47,KHM,Von dem Machandelboom,The Juniper Tree,720,,"Type 720, My Mother Killed Me; My Father Ate Me",720,1812/15,https://de.wikisource.org/wiki/Vom_Machandelbaum
khm-048,KHM 48,KHM,Der alte Sultan,Old Sultan,101,103; 104,"Type 101, The Old Dog Rescues the Child. Concludes with an episode of type 103, Wild Animals Hide from an Unfamiliar Animal, and of type 104, War between the Village Animals and the Forest Animals",101; 103; 104,1812/15,https://de.wikisource.org/wiki/Der_alte_Sultan
khm-049,KHM 49,KHM,Die sechs Schwäne,The Six Swans,451,,"Type 451, The Brothers Who Were Turned into Birds",451,1812/15,https://de.wikisource.org/wiki/Die_sechs_Schwäne
khm-050,KHM 50,KHM,Dornröschen,Little Brier-Rose,410,,"Type 410, Sleeping Beauty",410,1812/15,https://de.wikisource.org/wiki/Dornröschen
khm-051,KHM 51,KHM,Fundevogel,Foundling-Bird,313,,"Type 313, The Girl Helps the Hero Flee",313 A,1812/15,https://de.wikisource.org/wiki/Fundevogel
khm-052,KHM 52,KHM,König Drosselbart,King Thrushbeard,900,,Type 900,900,1812/15,https://de.wikisource.org/wiki/König_Drosselbart
khm-053,KHM 53,KHM,Sneewittchen,Little Snow-White,709,,Type 709,709,1812/15,https://de.wikisource.org/wiki/Schneewittchen
khm-054,KHM 54,KHM,"Der Ranzen, das Hütlein und das Hörnlein","The Knapsack, the Hat, and the Horn",569,,Type 569,569,1819,"https://de.wikisource.org/wiki/Der_Ranzen,_das_Hütlein_und_das_Hörnlein"
khm-055,KHM 55,KHM,Rumpelstilzchen,Rumpelstiltskin,500,,"Type 500, Guessing the Helper's Name",500,1812/15,https://de.wikisource.org/wiki/Rumpelstilzchen
khm-056,KHM 56,KHM,Der Liebste Roland,Sweetheart Roland,1119,313,"Type 1119, Ogres Kill Their Own Children, followed by type 313, The Girl Helps the Hero Flee; the Forgotten Fiancée",313 C,1812/15,https://de.wikisource.org/wiki/Der_Liebste_Roland
khm-057,KHM 57,KHM,Der goldene Vogel,The Golden Bird,550,,Type 550,550,1812/15,https://de.wikisource.org/wiki/Der_goldene_Vogel
khm-058,KHM 58,KHM,Der Hund und der Sperling,The Dog and the Sparrow,248,,"Type 248, The Man, the Dog, and the Bird",248,1812/15,https://de.wikisource.org/wiki/Der_Hund_und_der_Sperling
khm-059,KHM 59,KHM,Der Frieder und das Catherlieschen,Freddy and Katy Lizzy,,,"Types 1387, A Woman Draws Beer in the Cellar; 1385*, A Woman Loses Her Husband's Money; 1291B, A Fool Greeses the Cracked Earth with Butter; 1291, Sending One Cheese After Another; 1653A, Securing the Door; 1653, The Robbers under the Tree; 1383, A Woman Does Not Know Herself; 1791, Dividing Up the Dead",1291; 1383; 1386; 1387; 1653; 1791,1819,https://de.wikisource.org/wiki/Der_Frieder_und_das_Katherlieschen
khm-060,KHM 60,KHM,Die zwei Brüder,The Two Brothers,567A,303; 300,"Type 567A, The Magic Bird Heart; followed by type 303, The Blood Brothers. Includes an episode of type 300, The Dragon Slayer",303; 567,1819,https://de.wikisource.org/wiki/Die_zwei_Brüder
khm-061,KHM 61,KHM,Das Bürle,The Little Peasant,1535,1737; 1539,"Type 1535, The Rich Peasant and the Poor Peasant. Includes an episode of type 1737, Trading Places with the Trickster in a Sack. Similar to type 1539, Tricksters and Their Victims",1535,1819,https://de.wikisource.org/wiki/Das_Bürle
khm-062,KHM 62,KHM,Die Bienenkönigin,The Queen Bee,554,,"Type 554, The Grateful Animals",554,1819,https://de.wikisource.org/wiki/Die_Bienenkönigin
khm-063,KHM 63,KHM,Die drei Federn,The Three Feathers,402,,"Type 402, The Animal Bride",402,1819,https://de.wikisource.org/wiki/Die_drei_Federn
khm-064,KHM 64,KHM,Die goldene Gans,The Golden Goose,571,513B,"Type 571, All Stick Together, plus an episode of type 513B, The Land and Water Ship",571,1819,https://de.wikisource.org/wiki/Die_goldene_Gans
khm-065,KHM 65,KHM,Allerleirauh,All-Kinds-Of-Fur,510B,,"Type 510B, A King Tries to Marry His Daughter",510 B,1812/15,https://de.wikisource.org/wiki/Allerleirauh
khm-066,KHM 66,KHM,Häsichenbraut,The Hare's Bride,311,,"Type 311, The Heroine Rescues Herself and Her Sisters",311?,1819,https://de.wikisource.org/wiki/Häsichenbraut
khm-067,KHM 67,KHM,Die zwölf Jäger,The Twelve Huntsmen,884,,"Type 884, The Forsaken Fiancée",884,1812/15,https://de.wikisource.org/wiki/Der_König_mit_dem_Löwen
khm-068,KHM 68,KHM,De Gaudeif un sien Meester,The Thief and His Master,325,,"Type 325, The Magician and His Pupil",325,1819,https://de.wikisource.org/wiki/De_Gaudeif_un_sien_Meester
khm-069,KHM 69,KHM,Jorinde und Joringel,Jorinde and Joringel,405,,Type 405,405,1812/15,https://de.wikisource.org/wiki/Jorinde_und_Joringel
khm-070,KHM 70,KHM,Die drei Glückskinder,The Three Children of Fortune,1650,,"Type 1650, Three Brothers Inherit a Rooster, a Scythe, and a Cat. Includes episodes of types 1202, Harvesting Grain with a Cannon; 1651, Dick Whittington and His Cat; and 1281, Burning the Barn to Destroy an Unknown Animal",1202; 1281; 1650,1819,https://de.wikisource.org/wiki/Die_drei_Glückskinder
khm-071,KHM 71,KHM,Sechse kommen durch die ganze Welt,How Six Men Got On in the World,513A,,Type 513A,513 A,1819,https://de.wikisource.org/wiki/Sechse_kommen_durch_die_ganze_Welt
khm-072,KHM 72,KHM,Der Wolf und der Mensch,The Wolf and the Man,157,,"Type 157, Learning to Fear Man",157,1819,https://de.wikisource.org/wiki/Der_Wolf_und_der_Mensch
khm-073,KHM 73,KHM,Der Wolf und der Fuchs,The Wolf and the Fox,41,,"Type 41, Overeating in the Pantry",41,1819,https://de.wikisource.org/wiki/Der_Wolf_und_der_Fuchs
khm-074,KHM 74,KHM,Der Fuchs und die Frau Gevatterin,The Fox and His Cousin,152A*,4,"Type 152A*, The Scalded Wolf, followed by type 4, Getting a Ride by Pretending to Be Injured",4,1819,https://de.wikisource.org/wiki/Der_Fuchs_und_die_Frau_Gevatterin
khm-075,KHM 75,KHM,Der Fuchs und die Katze,The Fox and the Cat,105,,"Type 105, The Cat's Only Trick",105,1819,https://de.wikisource.org/wiki/Der_Fuchs_und_die_Katze
khm-076,KHM 76,KHM,Die Nelke,The Carnation,652,,"Type 652, The Boy Whose Wishes Always Come True",652,1812/15,https://de.wikisource.org/wiki/Die_Nelke
khm-077,KHM 77,KHM,Das kluge Gretel,Clever Gretel,1741,,"Type 1741, The Guest Flees to Save His Ears",,1819,https://de.wikisource.org/wiki/Das_kluge_Gretel
khm-078,KHM 78,KHM,Der alte Großvater und der Enkel,The Old Grandfather and His Grandson,980,,"Type 980, The Ungrateful Son",,1812/15,https://de.wikisource.org/wiki/Der_alte_Großvater_und_der_Enkel
khm-079,KHM 79,KHM,Die Wassernixe,The Water Nixie,313,,"Type 313, The Girl Helps the Hero Flee",313 A?,1812/15,https://de.wikisource.org/wiki/Die_Wassernixe
khm-080,KHM 80,KHM,Von dem Tode des Hühnchens,The Death of the Little Hen,2021,2021A,Type 2021. Includes an episode of type 2021A The Cock Seeks Help for the Choking Hen,,1812/15,https://de.wikisource.org/wiki/Von_dem_Tode_des_Hühnchens
khm-081,KHM 81,KHM,Bruder Lustig,Brother Merry,785,753A; 330B; 330*,"Includes episodes of type 785, Who Ate the Lamb's Heart?; type 753A, The Unsuccessful Resuscitation; type 330B, The Devil in the Sack; type 330*, Entering Heaven by a Trick;",785; 330 A; 330 B,1819,https://de.wikisource.org/wiki/Bruder_Lustig
khm-082,KHM 82,KHM,De Spielhansl,Gambling Hansel,330A,,"Type 330A, The Smith's Three Wishes",330 A; 330 B,1819,https://de.wikisource.org/wiki/De_Spielhansl
khm-083,KHM 83,KHM,Hans im Glück,Hans in Luck,1415,,Type 1415,1415,1819,https://de.wikisource.org/wiki/Hans_im_Glück
khm-084,KHM 84,KHM,Hans heiratet,Hans Gets Married,,,"Types 859B, The Penniless Wooer: Money in Hand, and 859A, The Penniless Wooer: Patch of Land",,1819,https://de.wikisource.org/wiki/Hans_heiratet
khm-085,KHM 85,KHM,Die Goldkinder</a?,The Gold-Children,555,303,"Type 555, The Fisherman and His Wife, followed by type 303, Blood Brothers",303,1812/15,https://de.wikisource.org/wiki/Die_Goldkinder
khm-086,KHM 86,KHM,Der Fuchs und die Gänse,The Fox and the Geese,227,,"Type 227, The Geese's Eternal Prayer",227,1812/15,https://de.wikisource.org/wiki/Der_Fuchs_und_die_Gänse
khm-087,KHM 87,KHM,Der Arme und der Reiche,The Poor Man and the Rich Man,750A,,"Type 750A, Good Wishes and Foolish Wishes",750,1812/15,https://de.wikisource.org/wiki/Der_Arme_und_der_Reiche
khm-088,KHM 88,KHM,Das singende springende Löweneckerchen,"The Singing, Springing Lark",425C,,"Type 425C, Beauty and the Beast",425 C,1812/15,https://de.wikisource.org/wiki/Das_singende_springende_Löweneckerchen
khm-089,KHM 89,KHM,Die Gänsemagd,The Goose-Girl,533,,Type 533,533,1812/15,https://de.wikisource.org/wiki/Die_Gänsemagd
khm-090,KHM 90,KHM,Der junge Riese,The Young Giant,650A,700,"Type 650A. Introduced with an episode of type 700, Tom Thumb",650 A,1812/15,https://de.wikisource.org/wiki/Der_junge_Riese
khm-091,KHM 91,KHM,Dat Erdmänneken,The Gnome,301A,,"Type 301A, The Quest for the Vanished Princesses",301 A,1812/15,https://de.wikisource.org/wiki/Dat_Erdmänneken
khm-092,KHM 92,KHM,Der König vom goldenen Berge,The King of the Golden Mountain,401A,810; 560; 518,"Type 401A, The Enchanted Princess in Her Castle. Introduced with an episode of type 810, The Devil Loses a Soul That Was Promised Him. Includes episodes of type 560, The Magic Ring, and type 518, Quarreling Giants Lose Their Magic Objects",400; 810,1812/15,https://de.wikisource.org/wiki/Der_König_vom_goldenen_Berg
khm-093,KHM 93,KHM,Die Rabe,The Raven,401,518,"Type 401. The Girl Transformed into an Animal. Includes an episode of type 518, Quarreling Giants Lose Their Magic Objects",400,1812/15,https://de.wikisource.org/wiki/Die_Rabe
khm-094,KHM 94,KHM,Die kluge Bauerntochter,The Peasant's Clever Daughter,875,,Type 875,875,1812/15,https://de.wikisource.org/wiki/Die_kluge_Bauerntochter
khm-095,KHM 95,KHM,Der alte Hildebrand,Old Hildebrand,1360C,,Type 1360C,,1819,https://de.wikisource.org/wiki/Der_alte_Hildebrand
khm-096,KHM 96,KHM,De drei Vügelkens,The Three Little Birds,707,,"Type 707, The Dancing Water, the Singing Apple, and the Speaking Bird",707,1812/15,https://de.wikisource.org/wiki/De_drei_Vügelkens
khm-097,KHM 97,KHM,Das Wasser des Lebens,The Water of Life,551,,Type 551,551,1812/15,https://de.wikisource.org/wiki/Das_Wasser_des_Lebens
khm-098,KHM 98,KHM,Doktor Allwissend,Dr. Know-All,1641,,Type 1641,1641,1812/15,https://de.wikisource.org/wiki/Doktor_Allwissend
khm-099,KHM 99,KHM,Der Geist im Glas,The Spirit in the Glass Bottle,331,,Type 331,331,1812/15,https://de.wikisource.org/wiki/Der_Geist_im_Glas
khm-100,KHM 100,KHM,Des Teufels rußiger Bruder,The Devil's Sooty Brother,475,,"Type 475, Heating Hell's Kitchen",475,1812/15,https://de.wikisource.org/wiki/Des_Teufels_rußiger_Bruder
khm-101,KHM 101,KHM,Der Bärenhäuter,Bearskin,361,,Type 361,361,1812/15,https://de.wikisource.org/wiki/Der_Teufel_Grünrock
khm-102,KHM 102,KHM,Der Zaunkönig und der Bär,The Wren and the Bear,222,,"Type 222, The War between the Birds and the Beasts",222,1812/15,https://de.wikisource.org/wiki/Der_Zaunkönig_und_der_Bär
khm-103,KHM 103,KHM,Der süße Brei,Sweet Porridge,565,,"Type 565, The Magic Mill",565,1812/15,https://de.wikisource.org/wiki/Der_süße_Brei
khm-104,KHM 104,KHM,Die klugen Leute,The Clever People,1384,1385; 1540,"Type 1384, A Man Seeks Someone as Stupid as His Wife. Includes episodes of type 1385, A Woman Accepts Her Own Cow as Security, and type 1540, The Man from Paradise",1384; 1385; 1540,1857,https://de.wikisource.org/wiki/Die_klugen_Leute
khm-105,KHM 105,KHM,Märchen von der Unke,Tales of the Toad,285,672B; 2075,"Three tales. Tale 1: type 285, The Child and the Snake. Tale 2: type 672B, The Toad's Crown. Tale 3: type 2075 Imitating Animal Sounds",285,1812/15,https://de.wikisource.org/wiki/Märchen_von_der_Unke
khm-106,KHM 106,KHM,Der arme Müllerbursch und das Kätzchen,The Poor Miller's Boy and the Cat,402,,"Type 402, The Animal Bride",402,1812/15,https://de.wikisource.org/wiki/Der_arme_Müllerbursch_und_das_Kätzchen
khm-107,KHM 107,KHM,Die beiden Wanderer,The Two Travelers,613,554,"Type 613, followed by type 554, The Grateful Animals",613,1843,https://de.wikisource.org/wiki/Die_beiden_Wanderer
khm-108,KHM 108,KHM,Hans mein Igel,Hans-My-Hedgehog,441,,Type 441,441,1812/15,https://de.wikisource.org/wiki/Hans_mein_Igel
khm-109,KHM 109,KHM,Das Totenhemdchen,The Burial Shirt (The Little Shroud),769,,Type 769,,1812/15,https://de.wikisource.org/wiki/Das_Totenhemdchen
khm-110,KHM 110,KHM,Der Jude im Dorn,The Jew in the Thorns,592,,"Type 592, Dancing in Thorns",592,1812/15,https://de.wikisource.org/wiki/Der_Jude_im_Dorn
khm-111,KHM 111,KHM,Der gelernte Jäger,The Trained Huntsman,304,,Type 304,304,1812/15,https://de.wikisource.org/wiki/Der_gelernte_Jäger
khm-112,KHM 112,KHM,Der Dreschflegel vom Himmel,The Threshing-Flail from Heaven,,,"A combination of types 1960A, The Giant Animal; 1960G, The Giant Plant; and 1889K, A Rope Made of Chaff",852,1812/15,https://de.wikisource.org/wiki/Der_Dreschflegel_vom_Himmel
khm-113,KHM 113,KHM,De beiden Künigeskinner,The Two Kings' Children,313,,"Type 313, The Girl Helps the Hero Flee; the Forgotten Fiancée",313 C,1812/15,https://de.wikisource.org/wiki/De_beiden_Künigeskinner
khm-114,KHM 114,KHM,Vom klugen Schneiderlein,The Clever Little Tailor,850,1061,"An expurgated version of type 850, The Princess's Birthmarks. Includes episodes of type 1061, Biting Stones and 1159, Catching the Would-Be Musician in a Crack (expurgated)",850,1812/15,https://de.wikisource.org/wiki/Vom_klugen_Schneiderlein
khm-115,KHM 115,KHM,Die klare Sonne bringt's an den Tag,The Bright Sun Will Bring It to Light,960,,"Type 960, The Sun Brings All to Light",960,1812/15,https://de.wikisource.org/wiki/Die_klare_Sonne_bringt’s_an_den_Tag
khm-116,KHM 116,KHM,Das blaue Licht,The Blue Light,562,,"Type 562, The Spirit in the Blue Light",562,1812/15,https://de.wikisource.org/wiki/Das_blaue_Licht
khm-117,KHM 117,KHM,Das eigensinnige Kind,The Willful Child,779,,"Type 779, Divine Rewards and Punishments",,1812/15,https://de.wikisource.org/wiki/Das_eigensinnige_Kind
khm-118,KHM 118,KHM,Die drei Feldscherer,The Three Army Surgeons,660,,"Type 660, The Three Doctors",660,1812/15,https://de.wikisource.org/wiki/Die_drei_Feldscherer
khm-119,KHM 119,KHM,Die sieben Schwaben,The Seven Swabians,1321,1231; 1297*,"Several episodes, mostly of type 1321, Fools Are Frightened. One episode is type 1231, Planning the Attack on a Hare. Conclusion belongs to type 1297*, Fools Walk into a River and Drown",,1819,https://de.wikisource.org/wiki/Die_sieben_Schwaben
khm-120,KHM 120,KHM,Die drei Handwerksburschen,The Three Journeymen,360,1697,"Type 360, The Three Apprentices and the Devil. Similar to type 1697, We Three, for Money",360; 1697,1812/15,https://de.wikisource.org/wiki/Die_drei_Handwerksburschen
khm-121,KHM 121,KHM,"Der Königssohn, der sich vor nichts fürchtet",The King's Son Who Is Afraid of Nothing,590,401A,"Type 590, The Magic Belt; and type 401A, The Enchanted Princess in Her Castle",,1819,"https://de.wikisource.org/wiki/Der_Königssohn,_der_sich_vor_nichts_fürchtet"
khm-122,KHM 122,KHM,Der Krautesel,The Cabbage-Donkey,567,566,"Type 567, The Magic Bird Heart. Similar to type 566, Fruit That Grows Horns (Fortunatus)",566; 567,1819,https://de.wikisource.org/wiki/Der_Krautesel
khm-123,KHM 123,KHM,Die Alte im Wald,The Old Woman in the Woods,442,,Type 442,442,1812/15,https://de.wikisource.org/wiki/Die_Alte_im_Wald
khm-124,KHM 124,KHM,Die drei Brüder,The Three Brothers,654,,"Type 654, Which Brother Has the Best Skill?",654,1812/15,https://de.wikisource.org/wiki/Die_drei_Brüder
khm-125,KHM 125,KHM,Der Teufel und seine Großmutter,The Devil and His Grandmother,812,,"Type 812, The Devil's Riddle",812,1812/15,https://de.wikisource.org/wiki/Der_Teufel_und_seine_Großmutter
khm-126,KHM 126,KHM,Ferenand getrü un Ferenand ungetrü,Ferdinand the Faithful and Ferdinand the Unfaithful,531,,Type 531,531,1812/15,https://de.wikisource.org/wiki/Ferenand_getrü_und_Ferenand_ungetrü
khm-127,KHM 127,KHM,Der Eisenofen,The Iron Stove,425A,,"Type 425A, The Animal Bridegroom",425 A,1812/15,https://de.wikisource.org/wiki/Der_Eisenofen
khm-128,KHM 128,KHM,Die faule Spinnerin,The Lazy Spinning Woman,1405,,Type 1405,1405,1812/15,https://de.wikisource.org/wiki/Die_faule_Spinnerin
khm-129,KHM 129,KHM,Die vier kunstreichen Brüder,The Four Skillful Brothers,653,,Type 653,653,1819,https://de.wikisource.org/wiki/Die_vier_kunstreichen_Brüder
khm-130,KHM 130,KHM,"Einäuglein, Zweiäuglein und Dreiäuglein","One-Eye, Two-Eyes, and Three-Eyes",511,,Type 511,511,1819,"https://de.wikisource.org/wiki/Einäuglein,_Zweiäuglein_und_Dreiäuglein"
khm-131,KHM 131,KHM,Die schöne Katrinelje und Pif Paf Poltrie,Fair Katrinelje and Pif Paf Poltrie,2019,,Type 2019,,1812/15,https://de.wikisource.org/wiki/Die_schöne_Katrinelje_und_Pif_Paf_Poltrie
khm-132,KHM 132,KHM,Der Fuchs und das Pferd,The Fox and the Horse,47A,,"Type 47A, Catching a Horse by the Tail",47,1812/15,https://de.wikisource.org/wiki/Der_Fuchs_und_das_Pferd
khm-133,KHM 133,KHM,Die zertanzten Schuhe,The Shoes That Were Danced to Pieces,306,,"Type 306, The Danced-Out Shoes",306,1812/15,https://de.wikisource.org/wiki/Die_zertanzten_Schuhe
